result,gf,ga,xg_x,xga,poss,sh,sot,dist,xg_y,npxg,g-xg,sota,saves,save%,att (gk),thr,psxg,psxg+/-,ast,xag,xa,kp,1/3,ppa,crspa,prgp,attempted passes,completed passes,corner kicks,shots blocked,tkl+int,err,mid 3rd,att pen,att 3rd,fls,fld,off,season,team_Aston Villa,team_Bournemouth,team_Brentford,team_Brighton and Hove Albion,team_Burnley,team_Chelsea,team_Crystal Palace,team_Everton,team_Fulham,team_Leeds United,team_Leicester City,team_Liverpool,team_Luton Town,team_Manchester City,team_Manchester United,team_Newcastle United,team_Nottingham Forest,team_Sheffield United,team_Southampton,team_Tottenham Hotspur,team_West Bromwich Albion,team_West Ham United,team_Wolverhampton Wanderers,opponent_Aston Villa,opponent_Bournemouth,opponent_Brentford,opponent_Brighton,opponent_Burnley,opponent_Chelsea,opponent_Crystal Palace,opponent_Everton,opponent_Fulham,opponent_Leeds United,opponent_Leicester City,opponent_Liverpool,opponent_Luton Town,opponent_Manchester City,opponent_Manchester Utd,opponent_Newcastle Utd,opponent_Nott'ham Forest,opponent_Sheffield Utd,opponent_Southampton,opponent_Tottenham,opponent_West Brom,opponent_West Ham,opponent_Wolves
1,3.0,0.0,1.7,0.3,55.0,14.0,5.0,18.3,1.7,1.7,1.3,2.0,2.0,100.0,24.0,2.0,0.1,0.1,2,1.0,1.1,9.0,30.0,8.0,0.0,36.0,616.0,539.0,4.0,3.0,14,0.0,363.0,29.0,146.0,6.0,9.0,3.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,1.0,1.0,2.7,0.9,69.0,18.0,5.0,16.0,2.7,2.7,-1.7,1.0,0.0,100.0,19.0,5.0,1.0,0.0,0,1.9,1.9,12.0,52.0,10.0,4.0,54.0,689.0,587.0,11.0,2.0,26,0.0,404.0,34.0,239.0,9.0,11.0,5.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-1,0.0,1.0,0.8,0.5,59.0,14.0,3.0,18.3,0.8,0.8,-0.8,1.0,1.0,0.0,18.0,4.0,0.1,0.1,0,0.7,0.7,12.0,63.0,10.0,2.0,65.0,679.0,602.0,7.0,4.0,19,1.0,361.0,28.0,230.0,13.0,10.0,2.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2.0,0.0,2.0,0.3,61.0,19.0,4.0,17.0,2.0,2.0,0.0,1.0,1.0,100.0,26.0,10.0,0.1,0.1,2,1.9,1.7,17.0,76.0,9.0,3.0,61.0,680.0,613.0,7.0,1.0,15,0.0,350.0,24.0,255.0,9.0,10.0,1.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,3.0,1.0,0.9,1.8,65.0,15.0,7.0,19.7,0.9,0.9,2.1,1.0,0.0,0.0,23.0,8.0,0.5,-0.5,2,0.7,0.8,9.0,37.0,7.0,1.0,53.0,618.0,521.0,6.0,4.0,23,0.0,312.0,22.0,165.0,7.0,8.0,1.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,1.0,0.0,0.6,1.8,33.0,5.0,2.0,20.7,0.6,0.6,0.4,4.0,4.0,100.0,23.0,6.0,0.3,0.3,1,0.6,0.5,3.0,14.0,2.0,1.0,22.0,402.0,310.0,1.0,6.0,22,2.0,176.0,8.0,83.0,6.0,5.0,2.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,3.0,1.0,1.8,1.0,68.0,6.0,3.0,14.2,1.8,1.8,1.2,6.0,5.0,83.3,21.0,6.0,1.3,0.3,2,1.7,1.2,5.0,52.0,12.0,3.0,55.0,663.0,552.0,7.0,2.0,19,0.0,311.0,17.0,224.0,7.0,6.0,2.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2.0,0.0,0.8,0.2,54.0,16.0,5.0,20.8,0.8,0.8,1.2,1.0,1.0,100.0,31.0,9.0,0.1,0.1,2,0.7,1.1,15.0,39.0,17.0,2.0,58.0,612.0,527.0,11.0,1.0,19,0.0,245.0,38.0,212.0,10.0,8.0,2.0,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1.0,0.0,1.0,0.9,71.0,18.0,2.0,17.4,1.0,1.0,0.0,1.0,0.0,100.0,33.0,8.0,1.0,1.0,1,1.0,1.2,18.0,51.0,14.0,3.0,70.0,623.0,517.0,10.0,1.0,12,0.0,268.0,44.0,282.0,12.0,13.0,1.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1,3.0,0.0,1.4,0.7,36.0,12.0,5.0,14.5,1.4,1.4,1.6,2.0,2.0,100.0,31.0,5.0,0.3,0.3,3,1.4,1.5,11.0,21.0,10.0,2.0,25.0,335.0,236.0,3.0,5.0,34,1.0,159.0,25.0,109.0,14.0,18.0,3.0,2021,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
